FirstName,LastName,ManagerID
Calvin,Johnson,1
Harry,Cleveland,2
John,Nixon,3
Franklin,Jefferson,4
Harry,Eisenhower,5
Grover,Garfield,6
Benjamin,Grant,7
Harry,Hayes,8
Ulysses,Buchanan,9
Calvin,Coolidge,10
Richard,Johnson,11
Thomas,Ford,12
Calvin,Johnson,13
Ronald,Johnson,14
Calvin,Johnson,15
Chester,Monroe,16
Lyndon,Harding,17
Lyndon,Polk,18
Dwight,Hayes,19
Millard,Quincy,20
Benjamin,Harrison,21
Chester,Harding,22
Calvin,Madison,23
Calvin,Jackson,24
Harry,Quincy,25
Woodrow,Adams,26
Andrew,Jefferson,27
Harry,Ford,28
Calvin,Johnson,29
Benjamin,Johnson,30
Herbert,Garfield,31
Ronald,Wilson,32
Millard,Lincoln,33
George,McKinley,34
Richard,Johnson,35
Grover,Carter,36
Benjamin,Nixon,37
Rutherford,Jefferson,38
Warren,Fillmore,39
Chester,Jefferson,40
George,Carter,41
Bill,Roosevelt,42
Chester,Van Buren,43
Bill,Washington,44
William,Harrison,45
Woodrow,Hayes,46
John,Monroe,47
Richard,Van Buren,48
Richard,Taft,49
John,Jefferson,50
Benjamin,Truman,51
Martin,Madison,52
Theodore,Roosevelt,53
Ulysses,Kennedy,54
Warren,Hoover,55
Zachary,Roosevelt,56
Richard,Jackson,57
Warren,Harrison,58
Ulysses,Clinton,59
Warren,Coolidge,60
Herbert,Quincy,61
Franklin,Monroe,62
Millard,Grant,63
Harry,Johnson,64
Andrew,Buchanan,65
Andrew,Garfield,66
Jimmy,Wilson,67
Andrew,Pierce,68
Abraham,Roosevelt,69
Harry,Harrison,70
Ulysses,Buchanan,71
Lyndon,Coolidge,72
Martin,Clinton,73
Woodrow,Reagan,74
Grover,Harding,75
Lyndon,Wilson,76
Jimmy,Eisenhower,77
George,Pierce,78
Jimmy,Harrison,79
Rutherford,Taft,80
Richard,Adams,81
Lyndon,Hoover,82
James,Tyler,83
Dwight,Harrison,84
Ulysses,Jefferson,85
Ronald,Arthur,86
Bill,Carter,87
Chester,Fillmore,88
Benjamin,Carter,89
Calvin,Johnson,90
Bill,Buchanan,91
Warren,Clinton,92
George,McKinley,93
John,Hoover,94
Rutherford,Arthur,95
George,Washington,96
